"setdiff(CSHBViDs, CompanyBViDs)"
FI09866740
FI02459755
FI14636114
IE518160
IE607102
IE603741
DE5050792064

SE2021003831
SE5560362138
NO*J00S1220
NO962986277
NO987059699
DE5050600201
RU00040778
RU00157629
NL*J00S1210
NL27365323
NL09083317
NL09208293
NL09208531
DE5050676794
DE5110206610
BE0476388378
BE0823637886
DE2012185726
DELEI291101
US*B000099210
KYLEI675271
GBGG56591
GB08510757
DELEI286767
DE4050243906
DE4050011152
DE5330000056
DE2370010538
DE2370237724
DE2370042401
DE2370010537
DELEI286837
DE8170851403
DE8170005525
DELEI332347
DE2190015873
DELEI681721
DE7170006728
DE8190027771
DE8190042266
DE*110236453867
DE2370098513
NL34168241
DE5110434608
CZ28621417
DE8171090844
DELEI875040
DE6070106495
DE*12737
DE3150181307
DE8170000724
DE*1650482299
DE3090087468
PL012149187
PL000002217
PL012216736
DE*831501063
DE5110443833
DE5070087509
DE5070007903
DE*110009094088
DE3170295464
LULB168600
DE6070621951
DE6070625729
DELEI286876
DE6050011386
NL34092845
DE5050441148
FR*J00S1080
FR622048965
FR542107651
DE4290082392
LU*J00S1170
LULB11723
LULB44683
DE5050703232
DE2150221010
DE2150023560
DE4070037392
DELEI1110963
DE4110128428
DE5170275808
DELEI839770
DE5410214134
DE*849205201
DELEI870037
DELEI883069
DE2050055194
DE4010044155
DE4010134184
NL24246970
NL24433142
DE2151569792
DE*110167622582
DE7210146970
DE7210157162
DELEI877595
DE5230349676
DE5230182596
FR403210032
FR572221034
DE2151336271
DE2010484908
DE2030397259
DE*850267597
DE7330003759
DE2070000543
DELEI353609
DK17225898
DE*110191383493
DE2310101425
DE*110191449556
DE5050831931
DELEI798714
DE2250266729
DE2250379498
DE*820708025
DELEI1291312
DE8230034438
DE8230101484
DE*838735813
DE5010031765
DE6250009664
DE6250148842
DE6270079896
DELEI753016
DE8030012803
DELEI286882
DELEI252013
DE8310020676
DE2050418739
DELEI923007
DELEI286733
DE5110030440
DE*110191786651
FR130004989
FR552081317
FR824580013
DE*834183721
DE6290062015
DE6290109392
DE*110005710617
DE8170865404
DELEI291099
DE8270006417
DE*110191453844
DE3190132432
DE*903642408
DE7270084797
DELEI1218509
CHCHE241300050
FR532712825
FR490683463
FR399258755
DE5110397148
DE6210302515
DE*110181512747
DE*834738524
DE6190292130
DK*J00S1050
DK10108330
DK36213728
DK18936674
DK31849292
DK29616477
DE5350137900
DE7330029432
DE7330081664
DK10403782
DK10794684
ESA48010615
ESB95913695
ESA95929659
GBLP017128
LULB206828
LULB207085
LULB207221
LULB229308
LULB229472
LULB229632
DE5210016503
DE5210017156
DE5210166657
DELEI868369
DE7070239014
DELEI186259
DE*834597304
DE3090037551
DELEI1879252
DE2290187686
DE2150039955
DELEI1083953
DE*110191449874
DE5110364921
DE5110008913
DE5110262726
DELEI329384
DE5330176969
DE*834162812
ESA62332580
DE8150156587
DE8150090814
DE8150178410
DE*38467
DE5210181946
CA199409307L
CA30759NC
LULB183889
LULB189886
DE7010327852
